Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description
216,Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,1941,3,4.4,250,Yes,,Wildlife,Yes,0.035,All,"Famous for Kolkata, the Sundarbans, and cultural festivals."
217,Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,1984,4,4.4,60,No,,Wildlife,Yes,0.065,All,"Famous for Kolkata, the Sundarbans, and cultural festivals."
218,Eastern,West Bengal,Digha,Digha Beach,Beach,Unknown,1.5,4.5,0,No,,Recreational,Yes,0.09,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals."
219,Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,1837,1.5,4.5,10,Yes,Friday,Historical,Yes,0.18,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals."
220,Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,Unknown,0.5,4.7,0,Yes,,Religious,No,0.045,All,"Famous for Kolkata, the Sundarbans, and cultural festivals."
221,Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,1814,0.5,4.6,0,Yes,,Architectural,No,0.07,All,"Famous for Kolkata, the Sundarbans, and cultural festivals."
222,Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,1949,3,4.4,100,Yes,,Wildlife,Yes,0.07,All,"Famous for Kolkata, the Sundarbans, and cultural festivals."
223,Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1887,1,4.5,20,Yes,Friday,Historical,Yes,0.09,All,"Famous for Kolkata, the Sundarbans, and cultural festivals."
224,Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,Unknown,2.5,4.5,0,No,,Nature,Yes,0.15,All,"Famous for Kolkata, the Sundarbans, and cultural festivals."
225,Eastern,Odisha,Puri,Jagannath Temple,Temple,12th century,2,4.7,0,Yes,,Religious,No,1,All,"Known for its temples, especially the Sun Temple at Konark."
226,Eastern,Odisha,Konark,Sun Temple,Temple,1250,1.5,4.7,40,Yes,,Historical,Yes,0.83,All,"Known for its temples, especially the Sun Temple at Konark."
227,Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,11th century,1,4.6,0,Yes,,Religious,No,0.35,All,"Known for its temples, especially the Sun Temple at Konark."
228,Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,Unknown,1.5,4.5,0,No,,Nature,Yes,1.2,All,"Known for its temples, especially the Sun Temple at Konark."
229,Eastern,Odisha,Cuttack,Barabati Fort,Fort,-987,1,4.5,0,Yes,,Historical,Yes,0.13,All,"Known for its temples, especially the Sun Temple at Konark."
230,Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1957,1,4.5,0,No,,Engineering Marvel,Yes,0.01,All,"Known for its temples, especially the Sun Temple at Konark."
231,Eastern,Odisha,Chilika,Chilika Lake,Lake,Unknown,2,3.9,0,Yes,,Nature,Yes,0.1,Morning,"Known for its temples, especially the Sun Temple at Konark."
232,Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,Ancient,1,4.6,0,Yes,,Religious,No,0.01,All,"Known for its temples, especially the Sun Temple at Konark."
233,Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,Unknown,1,4.3,0,No,,Nature,Yes,0.018,Morning,"Known for its temples, especially the Sun Temple at Konark."
234,Eastern,Odisha,Balasore,Chandipur Beach,Beach,Unknown,1.5,4.2,0,Yes,,Recreational,Yes,0.014,Morning,"Known for its temples, especially the Sun Temple at Konark."
235,Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,Unknown,1,4.4,0,No,,Nature,Yes,0.055,All,"Known for its temples, especially the Sun Temple at Konark."
236,Southern,Tamil Nadu,Chennai,Marina Beach,Beach,Unknown,1.5,3.9,0,Yes,,Recreational,Yes,0.1,Morning,Famous for its Dravidian temples and cultural heritage.
237,Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,6th century AD,2,4.7,0,Yes,,Religious,No,0.65,All,Famous for its Dravidian temples and cultural heritage.
238,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,12th century,1.5,4.6,0,No,,Religious,No,0.01,All,Famous for its Dravidian temples and cultural heritage.
239,Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1970,1,4.6,20,Yes,,Historical,No,0.47,Morning,Famous for its Dravidian temples and cultural heritage.
240,Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,1824,1,4.1,10,Yes,,Recreational,Yes,0.61,Morning,Famous for its Dravidian temples and cultural heritage.
241,Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,12th century,1,4.7,0,Yes,,Religious,No,0.3,All,Famous for its Dravidian temples and cultural heritage.
242,Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,1863,2,3.9,0,No,,Recreational,Yes,0.1,Morning,Famous for its Dravidian temples and cultural heritage.
243,Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,110,1.5,4.8,0,Yes,,Religious,No,0.35,All,Famous for its Dravidian temples and cultural heritage.
244,Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,7th century,1,4.6,40,Yes,,Historical,No,0.09,All,Famous for its Dravidian temples and cultural heritage.
245,Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,Unknown,1,4.2,0,No,,Recreational,Yes,0.019,Morning,Famous for its Dravidian temples and cultural heritage.
246,Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,7th century,1,4.6,0,Yes,,Religious,No,0.16,All,Famous for its Dravidian temples and cultural heritage.
247,Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,10th century,1,4.7,0,Yes,,Religious,No,0.28,All,Famous for its Dravidian temples and cultural heritage.
248,Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,Unknown,1,4.7,0,Yes,,Religious,No,0.44,All,"Known for its sacred temples, beaches, and spicy cuisine."
249,Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.39,Morning,"Known for its sacred temples, beaches, and spicy cuisine."
250,Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,14th century,1,4.7,0,No,,Religious,No,0.49,All,"Known for its sacred temples, beaches, and spicy cuisine."
251,Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,Unknown,2,4.3,0,Yes,,Nature,Yes,0.032,All,"Known for its sacred temples, beaches, and spicy cuisine."
252,Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,16th century,1.5,4.6,0,No,,Historical,Yes,0.075,All,"Known for its sacred temples, beaches, and spicy cuisine."
253,Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,Unknown,1.5,4.4,65,Yes,,Natural Wonder,Yes,0.11,Afternoon,"Known for its sacred temples, beaches, and spicy cuisine."
254,Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,Unknown,1,4.7,0,Yes,,Religious,No,0.041,All,"Known for its sacred temples, beaches, and spicy cuisine."
255,Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,Unknown,1,4.4,10,Yes,,Wildlife,Yes,0.7,All,"Known for its sacred temples, beaches, and spicy cuisine."
256,Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,12th century,1.5,4.5,0,No,,Historical,Yes,0.015,Morning,"Known for its sacred temples, beaches, and spicy cuisine."
257,Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1,4.7,0,Yes,,Religious,Yes,0.12,All,"Known for its sacred temples, beaches, and spicy cuisine."
258,Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,198,1,4.7,0,Yes,,Religious,No,0.59,All,"Known for its sacred temples, beaches, and spicy cuisine."
259,Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,Unknown,2,4.5,0,Yes,,Recreational,Yes,0.019,All,"Known for its sacred temples, beaches, and spicy cuisine."
260,Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,22,1,4.6,40,Yes,,Historical,Yes,0.49,All,"Known for its sacred temples, beaches, and spicy cuisine."
261,Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,Unknown,2,4.5,60,No,,Natural Wonder,Yes,0.31,Afternoon,"Known for its sacred temples, beaches, and spicy cuisine."
262,Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,Unknown,1,4.6,0,Yes,,Historical,Yes,0.059,All,"Known for its sacred temples, beaches, and spicy cuisine."
263,Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2,4.1,20,Yes,Monday,Wildlife,Yes,0.25,Afternoon,"Known for its sacred temples, beaches, and spicy cuisine."
264,Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,Unknown,1,3.8,20,Yes,,Recreational,Yes,0.03,All,"Known for its sacred temples, beaches, and spicy cuisine."
265,Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1,4.3,10,Yes,,Cultural,Yes,0.065,All,"Known for its sacred temples, beaches, and spicy cuisine."
266,Eastern,Sikkim,Gangtok,Nathula Pass,Hill,Unknown,2,4.3,20,Yes,,Historical,Yes,0.15,Afternoon,Known for its stunning landscapes and Buddhist monasteries.
267,Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1705,1,4.6,20,No,,Religious,No,0.015,Morning,Known for its stunning landscapes and Buddhist monasteries.
268,Eastern,Sikkim,Namchi,Char Dham,Religious Complex,211,2,4.7,50,Yes,,Religious,No,0.12,All,Known for its stunning landscapes and Buddhist monasteries.
269,Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,1960s,1,4.6,10,Yes,,Religious,No,0.035,Morning,Known for its stunning landscapes and Buddhist monasteries.
270,Eastern,Sikkim,Ravangla,Buddha Park,Park,213,1,4.8,50,Yes,,Cultural,Yes,0.1,All,Known for its stunning landscapes and Buddhist monasteries.
271,Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1967,1,4.7,0,Yes,,Religious,No,0.075,All,Known for its stunning landscapes and Buddhist monasteries.
272,Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,Unknown,2,4.5,0,Yes,,Nature,Yes,0.15,Morning,Known for its stunning landscapes and Buddhist monasteries.
273,North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,Unknown,2,4.6,0,Yes,,Religious,No,0.21,All,"Famous for its tea gardens, wildlife, and the Brahmaputra River."
274,North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,3,4.5,650,No,,Wildlife,No,0.068,Morning,"Famous for its tea gardens, wildlife, and the Brahmaputra River."
275,North Eastern,Assam,Guwahati,Umananda Island,Island,Unknown,1,4.1,0,Yes,,Nature,Yes,0.01,Morning,"Famous for its tea gardens, wildlife, and the Brahmaputra River."
276,North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1,4.7,0,No,,Historical,Yes,0.065,All,"Famous for its tea gardens, wildlife, and the Brahmaputra River."
277,North Eastern,Assam,Majuli,Majuli Island,River Island,Unknown,2,4.7,0,No,,Cultural,Yes,0.01,Morning,"Famous for its tea gardens, wildlife, and the Brahmaputra River."
278,North Eastern,Assam,Manas,Manas National Park,National Park,1990,3,4.6,500,No,,Wildlife,Yes,0.19,Morning,"Famous for its tea gardens, wildlife, and the Brahmaputra River."
279,North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,Unknown,1,4.5,0,No,,Religious,Yes,0.9,All,"Famous for its tea gardens, wildlife, and the Brahmaputra River."
280,North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2,4.4,500,Yes,,Wildlife,Yes,0.037,All,"Famous for its tea gardens, wildlife, and the Brahmaputra River."
281,North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2,4.7,0,No,,Religious,No,0.032,Morning,The Land of the Rising Sun with lush valleys and monasteries.
282,North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,1901,1.5,4.5,10,Yes,Monday,Historical,Yes,0.035,All,Known for its palaces and diverse tribal culture.
283,North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,Unknown,1,4.5,0,No,,Nature,Yes,0.01,Morning,Known for its palaces and diverse tribal culture.
284,North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,700,1.5,4.5,20,No,,Historical,Yes,0.025,Morning,Known for its palaces and diverse tribal culture.
285,Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,Unknown,1.5,4.6,0,No,,Nature,Yes,0.19,Morning,"Known for its dense forests, waterfalls, and tribal culture."
286,North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,Unknown,3,4.7,0,No,,Trekking,Yes,0.01,Afternoon,Famous for its tribal culture and the Hornbill Festival.
287,Southern,Puducherry,Puducherry,Promenade Beach,Beach,Unknown,1,4.5,0,Yes,,Recreational,Yes,0.09,Morning,French colonial heritage town with beaches and spiritual retreats.
288,Southern,Puducherry,Auroville,Auroville,Township,1968,2,4.1,0,Yes,,Cultural,Yes,0.035,All,French colonial heritage town with beaches and spiritual retreats.
289,Southern,Puducherry,Puducherry,Paradise Beach,Beach,Unknown,1,4.5,200,Yes,,Recreational,Yes,0.015,Morning,French colonial heritage town with beaches and spiritual retreats.
290,Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,4.7,30,Yes,Monday,Historical,Yes,0.12,Afternoon,Tropical paradise known for beaches and marine life.
291,Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,Unknown,1,4.8,0,No,,Nature,Yes,0.09,Morning,Tropical paradise known for beaches and marine life.
292,Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,Unknown,1,4.5,0,No,,Nature,Yes,0.04,Morning,Tropical paradise known for beaches and marine life.
293,Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,Unknown,1.5,4.4,250,No,,Nature,Yes,0.015,Morning,Tropical paradise known for beaches and marine life.
294,Western,Daman and Diu,Diu,Naida Caves,Cave,Unknown,1,4.5,0,No,,Nature,Yes,0.6,Afternoon,Known for beaches and colonial history.
295,Western,Daman and Diu,Diu,Diu Fort,Fort,1535,1.5,4.6,0,No,,Historical,Yes,1.2,Afternoon,Known for beaches and colonial history.
296,Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,Unknown,1,4.7,0,Yes,,Religious,Yes,1.8,All,"Rich in minerals, forests, and wildlife sanctuaries."
297,Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,Unknown,1,4.6,0,Yes,,Religious,Yes,0.13,All,"Rich in minerals, forests, and wildlife sanctuaries."
298,Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,-260,1.5,4.7,0,Yes,,Religious,Yes,0.2,All,Rich in ancient history with landmarks like Bodh Gaya and Nalanda.
299,Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,Unknown,2.5,4.3,30,Yes,,Wildlife,Yes,0.5,All,Rich in ancient history with landmarks like Bodh Gaya and Nalanda.
300,Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,Unknown,1,4.7,0,Yes,,Religious,Yes,0.25,All,Rich in ancient history with landmarks like Bodh Gaya and Nalanda.
301,Eastern,Bihar,Patna,Budhha Smriti Park,Park,Unknown,1,4.4,10,Yes,,Cultural,Yes,0.31,All,Rich in ancient history with landmarks like Bodh Gaya and Nalanda.
302,Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,2010,3,4.4,1100,Yes,Monday,Entertainment,Yes,0.3,Afternoon,Known for its rich agricultural land and historic sites.
303,Northern,Haryana,Gurugram,Ambience Mall,Mall,Unknown,2,4.6,0,Yes,,Shopping,Yes,1.2,Afternoon,Known for its rich agricultural land and historic sites.
304,Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,Unknown,2,4.7,0,Yes,,Entertainment,Yes,0.71,Afternoon,Known for its rich agricultural land and historic sites.
305,Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,Unknown,1,4.8,0,Yes,,Religious,Yes,1.05,All,The capital city with a mix of ancient and modern attractions.
306,Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,Unknown,1.5,4.8,0,No,,Religious,No,2,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.
307,Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,2016,2,4.6,0,Yes,,Shopping,Yes,1.5,All,Home to the Taj Mahal and sacred cities like Varanasi.
308,Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,Unknown,2,4.2,0,Yes,,Shopping,Yes,0.45,All,Home to the Taj Mahal and sacred cities like Varanasi.
309,Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,2005,4,4.5,890,Yes,,Entertainment,Yes,0.95,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
310,Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,1960,3,4.4,50,Yes,Monday,Wildlife,Yes,0.81,Afternoon,"Known for its temples, especially the Sun Temple at Konark."
311,Southern,Karnataka,Bengaluru,Orion Mall,Mall,2012,2,4.5,0,Yes,,Shopping,Yes,1.8,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
312,Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2004,2,4.5,0,Yes,,Shopping,Yes,1.2,All,Home to historic Hyderabad and the Charminar.
313,Northern,Delhi,New Delhi,Jama Masjid,Mosque,1656,1,4.5,0,Yes,,Historical,Yes,0.49,All,The capital city with a mix of ancient and modern attractions.
314,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,Unknown,1.5,4.7,0,Yes,,Religious,No,0.1,All,Famous for its Dravidian temples and cultural heritage.
315,Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2011,2,4.6,1500,Yes,Sunday,Sports,Yes,7.4,All,Home to the Taj Mahal and sacred cities like Varanasi.
316,Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2020,2,4.6,0,Yes,,Shopping,Yes,0.35,All,Home to the Taj Mahal and sacred cities like Varanasi.
317,Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,2013,3,4.6,0,Yes,,Shopping,Yes,1.9,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
318,Northern,Delhi,New Delhi,Rail Museum,Museum,1977,2,4.4,50,Yes,Monday,Cultural,Yes,0.24,Morning,The capital city with a mix of ancient and modern attractions.
319,North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,Unknown,2,4.6,0,No,,Nature,Yes,0.06,Morning,"Known for its hills, caves, and high rainfall."
320,Western,Gujarat,Gandhinagar,Akshardham,Temple,1992,3,4.6,0,Yes,Monday,Religious,No,0.18,All,"Home to the Gir National Park, temples, and the Rann of Kutch."
321,Central,Uttar Pradesh,Agra,Agra Fort,Fort,1565,2,4.5,40,Yes,,Historical,Yes,1.3,Afternoon,Home to the Taj Mahal and sacred cities like Varanasi.
322,Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,2013,2,4.7,10,Yes,Monday,Cultural,Yes,0.15,All,"Heart of India with temples, forts, and wildlife parks."
323,Northern,Rajasthan,Jaipur,City Palace,Palace,1727,2,4.4,200,Yes,,Historical,Yes,0.51,Morning,"Desert state famous for its palaces, forts, and rich culture."
324,Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,1887,2,4.5,200,Yes,,Historical,Yes,0.63,All,"Desert state famous for its palaces, forts, and rich culture."
