Sno,Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description,longitude,latitude,loc_clusters
109,109,Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,4.4,100,Yes,Monday,Cultural,Yes,0.1,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.5120396,10.3528744,4
110,110,Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,5.5,4.6,750,Yes,,Entertainment,Yes,0.41,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.5120396,10.3528744,4
111,111,Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2,4.6,50,Yes,,Historical,Yes,2.5,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
112,112,Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,Unknown,3,4.7,0,No,,Historical,Yes,0.05,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
113,113,Southern,Karnataka,Coorg,Abbey Falls,Waterfall,Unknown,1,4.1,0,No,,Nature,Yes,0.03,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
114,114,Southern,Karnataka,Gokarna,Om Beach,Beach,Unknown,2,4.5,0,No,,Nature,Yes,0.09,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
115,115,Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,Unknown,3,4.5,0,No,,Nature,Yes,0.05,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
116,116,Southern,Karnataka,Badami,Badami Cave Temples,Cave,600,1.5,4.6,30,No,,Religious,No,0.2,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
117,117,Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1900,1.5,4.6,30,No,,Nature,Yes,0.23,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
118,118,Southern,Karnataka,Mangalore,Panambur Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.1,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
119,119,Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,Unknown,1,4.7,0,Yes,,Religious,No,0.49,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
120,120,Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,1.5,4.5,20,No,,Historical,Yes,0.25,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
121,121,Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3,4.4,300,No,,Wildlife,Yes,0.15,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
122,122,Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1,4.7,15,No,,Religious,No,0.11,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",75.7223521,14.5203896,4
123,123,Western,Maharashtra,Pune,Shaniwar Wada,Fort,1732,2,4.4,50,Yes,,Historical,Yes,1.2,All,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
124,124,Western,Maharashtra,Aurangabad,Ajanta Caves,Cave,200,3,4.6,30,Yes,Monday,Historical,Yes,0.21,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
125,125,Western,Maharashtra,Nashik,Sula Vineyards,Vineyard,1999,2,4.1,300,Yes,,Recreational,Yes,0.1,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
126,126,Western,Maharashtra,Shirdi,Sai Baba Temple,Temple,1922,1.5,4.7,0,Yes,,Religious,No,0.69,All,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
127,127,Western,Maharashtra,Alibaug,Alibaug Beach,Beach,Unknown,1.5,4.2,0,Yes,,Recreational,Yes,0.05,Evening,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
128,128,Western,Maharashtra,Ratnagiri,Ganapatipule Temple,Temple,1600,1,4.7,0,No,,Religious,No,0.1,All,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
129,129,Western,Maharashtra,Nagpur,Deekshabhoomi,Monument,2001,1,4.5,0,Yes,,Religious,Yes,0.11,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
130,130,Western,Maharashtra,Kolhapur,Mahalakshmi Temple,Temple,700,1,4.8,0,Yes,,Religious,No,0.9,All,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
131,131,Western,Maharashtra,Lonavala,Karla Caves,Cave,200,1.5,4.4,25,Yes,Yes,Historical,Yes,0.27,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
132,132,Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,Unknown,2,4.6,0,No,,Recreational,Yes,0.065,Evening,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
133,133,Western,Maharashtra,Satara,Kaas Plateau,Valley,Unknown,2,4.4,300,No,,Nature,Yes,0.05,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
134,134,Western,Maharashtra,Matheran,Echo Point,Viewpoint,1828,1.5,4.4,0,Yes,,Nature,Yes,0.02,Morning,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
135,135,Western,Maharashtra,Ajanta,Ellora Caves,Cave,600,3,4.7,30,Yes,Tuesday,Historical,Yes,0.49,Afternoon,"Home to Mumbai, the financial capital, and historical sites.",75.6741579,18.9068356,0
136,136,Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,2,4.7,40,No,,Cultural,Yes,0.09,Afternoon,"Heart of India with temples, forts, and wildlife parks.",77.5340719,23.8143419,1
137,137,Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,-300,1.5,4.7,30,Yes,,Historical,Yes,0.01,Afternoon,"Heart of India with temples, forts, and wildlife parks.",77.5340719,23.8143419,1
138,138,Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1747,1,4.4,10,Yes,,Historical,Yes,0.63,Afternoon,"Heart of India with temples, forts, and wildlife parks.",77.5340719,23.8143419,1
139,139,Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,900,2.5,4.5,75,Yes,,Historical,Yes,0.4,Morning,"Heart of India with temples, forts, and wildlife parks.",77.5340719,23.8143419,1
140,140,Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,-3500,1.5,4.8,0,Yes,,Religious,No,1.2,All,"Heart of India with temples, forts, and wildlife parks.",77.5340719,23.8143419,1
141,141,Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,Unknown,1,4.5,0,No,,Nature,Yes,0.01,Morning,"Heart of India with temples, forts, and wildlife parks.",77.5340719,23.8143419,1
142,142,Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,Unknown,1.5,4.6,15,No,,Nature,Yes,0.065,Morning,"Heart of India with temples, forts, and wildlife parks.",77.5340719,23.8143419,1
143,143,Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,1955,3,4.5,100,No,,Wildlife,Yes,0.1,Morning,"Heart of India with temples, forts, and wildlife parks.",77.5340719,23.8143419,1
144,144,Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,1968,3,4.5,50,No,,Wildlife,Yes,0.05,Morning,"Heart of India with temples, forts, and wildlife parks.",77.5340719,23.8143419,1
145,145,Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,1.5,4.8,10,No,,Historical,Yes,0.1,Afternoon,"Heart of India with temples, forts, and wildlife parks.",77.5340719,23.8143419,1
146,146,Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,1,3.9,50,No,,Historical,Yes,0.03,Afternoon,"Heart of India with temples, forts, and wildlife parks.",77.5340719,23.8143419,1
147,147,Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,1958,2,4.6,25,No,,Archaeological,Yes,0.07,Afternoon,"Heart of India with temples, forts, and wildlife parks.",77.5340719,23.8143419,1
148,148,Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1200,1,4.4,0,No,,Religious,Yes,0.01,All,"Heart of India with temples, forts, and wildlife parks.",77.5340719,23.8143419,1
149,149,Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,Unknown,1.5,4.4,0,No,,Nature,Yes,0.1,Morning,"Heart of India with temples, forts, and wildlife parks.",77.5340719,23.8143419,1
150,150,Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,Unknown,1,4.7,0,Yes,,Recreational,Yes,0.03,Morning,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
151,151,Northern,Himachal Pradesh,Manali,Solang Valley,Valley,Unknown,2,4.1,0,No,,Adventure,Yes,0.05,Morning,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
152,152,Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1959,1.5,4.7,0,Yes,,Religious,No,0.15,All,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
153,153,Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,Unknown,1.5,4.5,0,No,,Nature,Yes,0.1,Morning,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
154,154,Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1100,1,4.8,0,No,,Religious,Yes,0.025,Morning,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
155,155,Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,1984,3,4.5,50,No,,Wildlife,Yes,0.2,All,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
156,156,Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,Unknown,2,4.4,0,No,,Recreational,Yes,0.01,Morning,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
157,157,Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,Unknown,2,4.5,0,No,,Nature,Yes,0.01,Morning,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
158,158,Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,400,2,4.4,150,Yes,,Historical,Yes,0.1,All,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
159,159,Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1950,1.5,4.6,0,Yes,,Agricultural,Yes,0.015,Morning,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
160,160,Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1400,1.5,4.6,0,No,,Nature,Yes,0.01,Morning,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
161,161,Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2005,2,4.8,2500,No,,Adventure,Yes,0.01,All,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
162,162,Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,Unknown,5,4.8,0,Yes,,Adventure,Yes,0.01,Morning,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
163,163,Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1980,1,4.6,0,No,,Religious,Yes,1.3,Morning,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
164,164,Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,Unknown,2,4.5,0,Yes,,Nature,Yes,1.1,All,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
165,165,Northern,Himachal Pradesh,Barot,Barot Valley,Valley,Unknown,2,4.7,0,No,,Nature,Yes,1.2,Morning,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
166,166,Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,Unknown,2.5,4.4,0,No,,Nature,Yes,0.9,Morning,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
167,167,Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,1975,5,3.8,1500,Yes,,Recreational,Yes,0.1,All,Famous for its hill stations like Shimla and Manali.,77.34932052,31.81676015,1
168,168,Northern,Uttarakhand,Nainital,Naini Lake,Lake,Unknown,1.5,4.2,0,Yes,,Nature,Yes,0.01,Morning,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.089691,30.0417376,1
169,169,Northern,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,1939,1,4.4,0,Yes,,Cultural,Yes,0.03,Morning,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.089691,30.0417376,1
170,170,Northern,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,Unknown,1,4.5,0,Yes,,Religious,Yes,0.025,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.089691,30.0417376,1
171,171,Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,Unknown,1.5,4.5,25,Yes,,Nature,Yes,0.01,Morning,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.089691,30.0417376,1
172,172,Northern,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,Unknown,1.5,4.2,15,Yes,,Nature,Yes,0.55,Morning,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.089691,30.0417376,1
173,173,Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,1990,3,4.5,0,No,,Adventure,Yes,0.01,Morning,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.089691,30.0417376,1
174,174,Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,-820,1,4.8,0,No,,Religious,No,0.29,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.089691,30.0417376,1
175,175,Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,1988,2,4.3,150,No,,Wildlife,Yes,0.01,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.089691,30.0417376,1
176,176,Northern,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,1868,1,4,50,No,,Recreational,Yes,0.025,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.089691,30.0417376,1
177,177,Northern,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,1936,3,4.4,100,Yes,,Wildlife,Yes,0.3,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.089691,30.0417376,1
178,178,Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1751,1,4.8,0,No,,Religious,No,0.05,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.089691,30.0417376,1
179,179,Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,751,2,4.8,0,No,,Religious,No,0.09,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.089691,30.0417376,1
180,180,Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,1982,5,4.7,150,No,,Nature,Yes,0.035,Morning,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.089691,30.0417376,1
181,181,Central,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,1632,2,4.6,50,Yes,Friday,Historical,Yes,2.25,Morning,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
182,182,Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,Unknown,1,4.7,0,Yes,,Religious,No,0.9,All,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
183,183,Central,Uttar Pradesh,Lucknow,Bara Imambara,Monument,1784,1.5,4.4,50,Yes,Monday,Historical,No,0.45,All,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
184,184,Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,Unknown,1,4.7,0,Yes,,Religious,No,0.13,All,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
185,185,Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,Unknown,1,4.8,0,Yes,,Religious,No,0.025,All,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
186,186,Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1864,1,4.8,0,Yes,,Religious,No,0.37,All,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
187,187,Central,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,Unknown,1,4.5,0,Yes,,Religious,Yes,0.09,Morning,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
188,188,Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,1613,1.5,4.4,15,Yes,,Historical,Yes,0.25,All,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
189,189,Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,-500,1,4.6,5,Yes,,Historical,Yes,0.065,All,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
190,190,Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,1571,2,4.4,40,Yes,,Historical,Yes,0.07,Afternoon,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
191,191,Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1990,1.5,4.3,30,Yes,,Wildlife,Yes,0.035,All,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
192,192,Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,1524,1,4.1,20,Yes,,Historical,Yes,0.0165,Afternoon,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
193,193,Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,Unknown,1,4.8,0,Yes,,Religious,No,0.045,All,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
194,194,Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,1971,2,4.2,150,Yes,Monday,Wildlife,Yes,0.21,All,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
195,195,Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,Unknown,2,4.6,0,Yes,,Nature,Yes,0.15,Morning,"Renowned for its beautiful valleys, lakes, and houseboats.",75.1629584,33.6649297,1
196,196,Northern,Ladakh,Leh,Pangong Tso,Lake,Unknown,2,4.9,20,Yes,,Nature,Yes,0.15,Morning,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.6568576,33.9456407,1
197,197,Northern,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,Unknown,2,4.6,100,No,,Nature,Yes,0.11,All,"Renowned for its beautiful valleys, lakes, and houseboats.",75.1629584,33.6649297,1
198,198,Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,Unknown,5,4.7,0,Yes,,Religious,No,0.55,All,"Renowned for its beautiful valleys, lakes, and houseboats.",75.1629584,33.6649297,1
199,199,Northern,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,Unknown,2,4.1,0,No,,Recreational,Yes,0.01,All,"Renowned for its beautiful valleys, lakes, and houseboats.",75.1629584,33.6649297,1
200,200,Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,Unknown,6,4.5,0,No,,Religious,Yes,0.11,All,"Renowned for its beautiful valleys, lakes, and houseboats.",75.1629584,33.6649297,1
201,201,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,20,Yes,,Religious,No,0.05,All,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.6568576,33.9456407,1
202,202,Northern,Ladakh,Nubra Valley,Nubra Valley,Valley,Unknown,2,4.5,0,No,,Nature,Yes,0.1,All,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.6568576,33.9456407,1
203,203,Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,24,1,4.8,0,No,,Historical,Yes,0.011,All,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.6568576,33.9456407,1
204,204,Northern,Ladakh,Diskit,Diskit Monastery,Monastery,1351,1,4.7,20,No,,Religious,No,0.015,Morning,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.6568576,33.9456407,1
205,205,Northern,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,1981,3,4.3,100,No,,Wildlife,Yes,0.01,All,"Renowned for its beautiful valleys, lakes, and houseboats.",75.1629584,33.6649297,1
206,206,Northern,Ladakh,Hemis,Hemis National Park,National Park,1981,4,4.4,20,No,,Wildlife,Yes,0.02,All,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.6568576,33.9456407,1
207,207,Northern,Ladakh,Dras,Dras War Memorial,War Memorial,Unknown,1,4.8,0,No,,Historical,Yes,0.012,All,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.6568576,33.9456407,1
208,208,Northern,Ladakh,Leh,Magnetic Hill,Gravity Hill,Unknown,0.5,3.7,0,Yes,,Nature,Yes,0.1,All,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.6568576,33.9456407,1
209,209,Northern,Ladakh,Leh,Khardung La Pass,Hill,Unknown,1,4.5,0,Yes,,Adventure,Yes,0.05,Afternoon,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.6568576,33.9456407,1
210,210,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,30,Yes,,Religious,No,0.05,All,"Known for its stunning landscapes, monasteries, and adventure tourism.",77.6568576,33.9456407,1
211,211,Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,2012,1.5,4.8,0,Yes,,Religious,Yes,0.49,Evening,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
212,212,Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1950,1,4.8,0,Yes,,Historical,Yes,0.03,Morning,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
213,213,Central,Uttar Pradesh,Mathura,Nand Gaon,Village,Unknown,1,4.1,0,Yes,,Cultural,Yes,0.01,Morning,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
214,214,Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,Unknown,1,4.8,0,Yes,,Religious,Yes,0.1,Morning,Home to the Taj Mahal and sacred cities like Varanasi.,80.859666,27.1303344,1
215,215,Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,Unknown,1,4.5,0,No,,Nature,Yes,0.025,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",87.6855882,22.9964948,2
