,Unnamed: 0,Sno,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description,longitude,latitude,loc_clusters,img,,,,,,,,,,,,,,,,,,,,,name,,,,,latitude,,longitude
0,0,0,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,,Historical,Yes,2.6,Evening,The capital city with a mix of ancient and modern attractions.,77.2507,28.6129,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfX-3ako7xK6ko-2vzcJLvRAdy3Ppy2t3Mbz9qHHtcZ55oxuYVji_81GKfDg&s,,,,,,,,,,,,,,,,,,,,,India Gate,,,,,0,,
1,1,1,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2,4.5,30,Yes,,Historical,Yes,0.4,Afternoon,The capital city with a mix of ancient and modern attractions.,77.2773,28.5933,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwPYB4fMXSdtAPAGsXaZ0OkoydcthwbsKJmhwLI4mVZ3AV_dd1WEhrTPClmTg&s,,,,,,,,,,,,,,,,,,,,,Humayun's Tomb,,,,,28.5933,,77.2507
2,2,2,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5,4.6,60,Yes,,Religious,No,0.4,Afternoon,The capital city with a mix of ancient and modern attractions.,77.257,28.6127,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUZhHwFK5Ivvn6u8w75BbnhANhOe7d2FDSmW_ELX2kVL0duJCtRRfFRhtkCSc&s,,,,,,,,,,,,,,,,,,,,,Akshardham Temple,,,,,28.6127,,77.2773
3,3,3,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,The capital city with a mix of ancient and modern attractions.,77.2166,28.5927,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCkqAslpKesAZ_-uL09LXCxlH0-7EqmxfsWey3jKLFJV7pOz0huA20b6-mTQ&s,,,,,,,,,,,,,,,,,,,,,Waste to Wonder Park,,,,,28.5927,,77.257
4,4,4,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2,4.2,15,Yes,,Scientific,Yes,0.31,Morning,The capital city with a mix of ancient and modern attractions.,77.2303,28.6271,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1oO7Js5pbwD59h1plTCXENvmP6zJ6TBSaDd5aJ5y4goh5egfnq36FnQ16IOk&s,,,,,,,,,,,,,,,,,,,,,Jantar Mantar,,,,,28.6271,,77.2166
5,5,5,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,The capital city with a mix of ancient and modern attractions.,77.2588,28.6505,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRM5A6711VZOU-UBEoNkWjJrGzKocz3UYh6JkcdN3tN517L-AjOdznvib2k76c&s,,,,,,,,,,,,,,,,,,,,,Chandni Chowk,,,,,28.6505,,77.2303
6,6,6,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,The capital city with a mix of ancient and modern attractions.,77.241,28.5535,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4O2-qAEK-gP5tNLeIpu1dEIDccr5rK6LZg2BEvUiA-ovpusNN-qxqgN2FsA&s,,,,,,,,,,,,,,,,,,,,,Lotus Temple,,,,,28.5535,,77.2588
7,7,7,Northern,Delhi,Delhi,Red Fort,Fort,1648,2,4.5,35,Yes,,Historical,Yes,1.5,Afternoon,The capital city with a mix of ancient and modern attractions.,77.225,28.6562,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCpATL3xII3bZUwoTOv6svyRzqS1wYzNy9U0JQ3NnOyviQGvJqXhVMH7_5LA&s,,,,,,,,,,,,,,,,,,,,,Red Fort,,,,,28.6562,,77.241
8,8,8,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1,4.2,0,Yes,,Historical,Yes,0.41,Afternoon,The capital city with a mix of ancient and modern attractions.,77.2452,28.6261,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHYfBuS1FINiql0ClbZZ9CZQhoJ4hUSTbes5ONvNpkLsxywymJ-5i_bCC6Hg&s,,,,,,,,,,,,,,,,,,,,,Agrasen ki Baoli,,,,,28.6261,,77.225
9,9,9,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2,4.6,0,Yes,,Botanical,Yes,0.16,Afternoon,The capital city with a mix of ancient and modern attractions.,77.1975,28.5956,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEmZxePASiZKxdFUwpfGybLuqFdvd3SMecUdM3GqVhuOyt084_R45rTahM2g&s,,,,,,,,,,,,,,,,,,,,,Sunder Nursery,,,,,28.5956,,77.2452
10,10,10,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2,4.1,35,Yes,,Botanical,Yes,0.23,Morning,The capital city with a mix of ancient and modern attractions.,77.2197,28.5134,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBaoVGOagSzZbXuiY9PCjhDzuBLfc8jLNLYr89bRCY3NtGhYmqN2SrZelL8hQ&s,,,,,,,,,,,,,,,,,,,,,Garden of Five Senses,,,,,28.5134,,77.1975
11,11,11,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1,4.5,0,Yes,,Botanical,Yes,0.48,All,The capital city with a mix of ancient and modern attractions.,77.2344,28.5931,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWsT9AXsnCx2TfoIZiE2TrchibBQCYhW7BIIO1pBCzNBdlcdB-PBh9iE5Zig&s,,,,,,,,,,,,,,,,,,,,,Lodhi Garden,,,,,28.5931,,77.2197
12,12,12,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,The capital city with a mix of ancient and modern attractions.,77.2454,28.6102,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTE6_a4o5dTdBqqyphB_LsXGhg1lEcAE8UTcSb2hjhdaJN2UodsfpdwoPsEJA&s,,,,,,,,,,,,,,,,,,,,,National Gallery of Modern Art,,,,,28.6102,,77.2344
13,13,13,Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3,4.1,80,Yes,Friday,Environmental,Yes,0.41,All,The capital city with a mix of ancient and modern attractions.,77.1855,28.6067,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQd-iSQGtZLVIk1lj51s4kYF2RqVg1UiBsttRb07l9hey5KTlpDMKuLL8SHWuk&s,,,,,,,,,,,,,,,,,,,,,National Zoological Park ,,,,,28.6067,,77.2454
14,14,14,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1,4.5,35,Yes,,Historical,Yes,1.37,Afternoon,The capital city with a mix of ancient and modern attractions.,77.2454,28.5245,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6I_FJAV4ROcuF9GCiGS3KY3FhOhfVxNg5hOkpeIKtMJVO-ZvLVw0JY2SpxIg&s,,,,,,,,,,,,,,,,,,,,,Qutub Minar,,,,,28.5245,,77.1855
15,15,15,Northern,Delhi,Delhi,National Science Centre,Science,1992,5,4.4,70,Yes,,Scientific,Yes,0.23,All,The capital city with a mix of ancient and modern attractions.,72.8244,28.6131,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQw7sMSwJRNYmHbx-4bFb7dllst-g8bdd6kfBPcfX22whp4SPEWPQ5gE8fK7gw&s,,,,,,,,,,,,,,,,,,,,,National Science Centre,,,,,28.6131,,77.2454
16,16,16,Western,Maharashtra,Mumbai,Marine Drive,Promenade,Unknown,2,4.5,0,Yes,,Scenic,Yes,1.5,Evening,"Home to Mumbai, the financial capital, and historical sites.",72.8347,18.9447,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSO1ZxeNb_4Ggy_Wxmgtxl3pO-9mI4Ue221cpCfbSQa5IWMmrmrwBG8-0aXOJM&s,,,,,,,,,,,,,,,,,,,,,Marine Drive,,,,,18.9447,,72.8244
17,17,17,Western,Maharashtra,Mumbai,Gateway of India,Monument,1924,1,4.6,0,Yes,,Historical,Yes,3.6,All,"Home to Mumbai, the financial capital, and historical sites.",72.8327,18.922,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNedGm6Xe_X1_zbyZ2cJDJyOPwm2JKxm736g85dQYFWVFxz1I_VeNA_uxCjMQ&s,,,,,,,,,,,,,,,,,,,,,Gateway of India,,,,,18.922,,72.8347
18,18,18,Western,Maharashtra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1,4.6,500,Yes,,Historical,Yes,0.34,All,"Home to Mumbai, the financial capital, and historical sites.",72.9128,18.9269,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQz8i0igxeCTnBFwKTJAByUgJeASBz-cMTZtIi1cEzXJTxK3wP6j4lt6B7p0w&s,,,,,,,,,,,,,,,,,,,,,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,,,,,18.9269,,72.8327
19,19,19,Western,Maharashtra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All,"Home to Mumbai, the financial capital, and historical sites.",72.8304,19.2205,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDDl6F2tSKNla5_3bmLVof3yKyHv3DiqV1XaVU3-e4iaaV8lY0NJUy9Dn8Y8Y&s,,,,,,,,,,,,,,,,,,,,,Sanjay Gandhi National Park,,,,,19.2205,,72.9128
20,20,20,Western,Maharashtra,Mumbai,Siddhivinayak Temple,Temple,1881,2,4.8,0,Yes,,Religious,No,1.05,All,"Home to Mumbai, the financial capital, and historical sites.",72.8066,19.017,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGOKXyBcVLBP7z-99PctxOeizmLadAKYcYoXgpNVX2nMy4E2-q_oudu2utMWA&s,,,,,,,,,,,,,,,,,,,,,Siddhivinayak Temple,,,,,19.017,,72.8304
21,21,21,Western,Maharashtra,Mumbai,Mahalaxmi Temple,Temple,1831,1,4.7,0,Yes,,Religious,No,0.33,All,"Home to Mumbai, the financial capital, and historical sites.",72.8105,18.9773,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFyNMpDpCl5DwCg66n47IH0Ixjf1tqUvrCW1j-3Q-6nQJxVRjAmvrOClYT7w&s,,,,,,,,,,,,,,,,,,,,,Mahalaxmi Temple,,,,,18.9773,,72.8066
22,22,22,Western,Maharashtra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2,4.4,0,Yes,,Religious,No,0.16,All,"Home to Mumbai, the financial capital, and historical sites.",72.8166,18.9778,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRX9ovj6-KoZAfxVS-2VW9nbzB5xbF4ax4TgyVtMPHR-I0PNukVst90jzljw&s,,,,,,,,,,,,,,,,,,,,,Haji Ali Dargah,,,,,18.9778,,72.8105
23,23,23,Western,Maharashtra,Mumbai,Chowpatty Beach,Beach,Unknown,2,4.3,0,Yes,,Recreational,Yes,0.05,Evening,"Home to Mumbai, the financial capital, and historical sites.",72.8051,18.9519,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpOhZf-NrLva3bzd7St4PYcYNs2lwztCxs7UY5ep-5hAOweDP_7misyxQ163I&s,,,,,,,,,,,,,,,,,,,,,Chowpatty Beach,,,,,18.9519,,72.8166
24,24,24,Western,Maharashtra,Mumbai,Essel World,Amusement Park,1986,5,4.3,1149,Yes,,Recreational,Yes,0.27,All,"Home to Mumbai, the financial capital, and historical sites.",72.9315,19.2315,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFemKIvLPA5HHiNcl-d_7gkWeB27cosFgJybyYqjHiDRzZJjHw2R9T3mQQeLQ&s,,,,,,,,,,,,,,,,,,,,,Essel World,,,,,19.2315,,72.8051
25,25,25,Western,Maharashtra,Mumbai,Elephanta Caves,Monument,1987,4,4.3,550,Yes,,Historical,Yes,0.35,All ,"Home to Mumbai, the financial capital, and historical sites.",73.2823,18.9633,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ565v3cGQZvpZEBvaIXGz_qswf_9OAzSVyj-dkBF_a2shqooGnvmHDpKv6hA&s,,,,,,,,,,,,,,,,,,,,,Elephanta Caves,,,,,18.9633,,72.9315
26,26,26,Western,Maharashtra,Lonavala,Imagicaa,Amusement Park,2013,5,1.4,1149,No,Monday,Recreational,Yes,0.95,All,"Home to Mumbai, the financial capital, and historical sites.",77.5891,18.7679,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR99QXy7jSm89I5vgDlp04GHgPnHjk7RmtgP5sk-xdBJrMSdTBVv_oLFs_XdQ&s,,,,,,,,,,,,,,,,,,,,,Imagicaa,,,,,18.7679,,73.2823
27,27,27,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.5847,13.0035,18,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxGHq0wgsy9S6RgB2-_5Zo6ZPQBd4n4N1nRDO4HROjHpdKMpltnDCPj7N87eI&s,,,,,,,,,,,,,,,,,,,,,Bangalore Palace,,,,,13.0035,,77.5891
28,28,28,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,Yes,,Nature,Yes,1.5,Evening,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.5952,12.9494,18,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVrcoNADkd2gSvvDe8GOj_V_x8IRVJtKPNygnDo8xxJ95xQH6CZmvq4Gb304Y&s,,,,,,,,,,,,,,,,,,,,,Lalbagh Botanical Garden,,,,,12.9494,,77.5847
29,29,29,Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1,4.4,0,Yes,,Nature,Yes,1.32,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.5908,12.9779,18,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdJJ1_CqyOGL3z7mbnmIico7GLms0WfU82PSRB0k6PAmfQHPXpGX9HsM8hSg&s,,,,,,,,,,,,,,,,,,,,,Cubbon Park,,,,,12.9779,,77.5952
30,30,30,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0,Yes,,Architectural,No,0.8,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.5511,12.9796,18,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFVLI1wq_dVE0z-de4AcjfTtdziWmdE-s7B7X91NVL_1V8NAuST7te0gy8aHk&s,,,,,,,,,,,,,,,,,,,,,Vidhana Soudha,,,,,12.9796,,77.5908
31,31,31,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1,4.6,0,Yes,,Religious,Yes,1.14,Evening,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",78.4747,13.0097,18,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR87L7qv59JhnP83iw1RjYhppqzJwXTDqpWad_-SLbWYaoxJeSLIVx1lz2-bQc&s,,,,,,,,,,,,,,,,,,,,,ISKCON Temple Bangalore,,,,,13.0097,,77.5511
32,32,32,Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1,4.5,25,Yes,Friday,Historical,Yes,2.1,Morning,Home to historic Hyderabad and the Charminar.,78.4011,17.3616,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRr3IdZXhob7wdvt13rnC4K32kVjWgAs2vwssMwA_Bd36fqjx6lu3yIJm0xTQ&s,,,,,,,,,,,,,,,,,,,,,Charminar,,,,,17.3616,,78.4747
33,33,33,Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2,4.4,30,Yes,,Historical,Yes,1.2,Morning,Home to historic Hyderabad and the Charminar.,78.4738,17.3833,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8llOQZOypJLNtdBMI1XCzRr5a1es8PeiGL2xwqXc5wYz9MdUWxYG2XDDmb4s&s,,,,,,,,,,,,,,,,,,,,,Golconda Fort,,,,,17.3833,,78.4011
34,34,34,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1,4.3,0,Yes,,Scenic,Yes,0.5,Evening,Home to historic Hyderabad and the Charminar.,78.6818,17.4239,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSD85BRQo4pIKtmsN3tLAeqEqvR81PnSbcpW78JwYyCRccpxcDIHjqdPApkwg&s,,,,,,,,,,,,,,,,,,,,,Hussain Sagar Lake,,,,,17.4239,,78.4738
35,35,35,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4,4.4,1150,Yes,,Entertainment,Yes,0.45,All,Home to historic Hyderabad and the Charminar.,78.4802,17.2641,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfaxLsOudD59UJZdJKXY4KW3DymrMz37LuZXcFrJRYJ0TvQY_zAv0zAG2GPBw&s,,,,,,,,,,,,,,,,,,,,,Ramoji Film City,,,,,17.2641,,78.6818
36,36,36,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2,4.4,20,Yes,,Historical,Yes,0.67,All,Home to historic Hyderabad and the Charminar.,78.3968,17.3716,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUZYo47axQfhFsel1y_DcPFzD0vzc8GWKwyXem_T9Qo6zAOotZGOazRlSPxiA&s,,,,,,,,,,,,,,,,,,,,,Salar Jung Museum,,,,,17.3716,,78.4802
37,37,37,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1,4.4,25,Yes,,Historical,Yes,0.2,Morning,Home to historic Hyderabad and the Charminar.,78.4691,17.3955,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDwdOYAzXOhxELlDc-rWmdHZvvX_bYD8rMlaTWWpgFGb7LtORaq-ooOyZ7og&s,,,,,,,,,,,,,,,,,,,,,Qutub Shahi Tombs,,,,,17.3955,,78.3968
38,38,38,Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1,4.7,0,Yes,,Religious,No,0.41,All,Home to historic Hyderabad and the Charminar.,78.4717,17.4062,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtlvyk6K_434_-qfU0QBYz-Zq6N1ucpSSqTZebvyV708o2vq_3xJUV_YZxuL8&s,,,,,,,,,,,,,,,,,,,,,Birla Mandir,,,,,17.4062,,78.4691
39,39,39,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80,Yes,,Historical,Yes,0.45,Morning,Home to historic Hyderabad and the Charminar.,78.4425,17.3578,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNof6sWq5-vXDATBszVspAvoeLJmwESV8o1RknwfJkKJ4hamjiBNqbvMMvQA&s,,,,,,,,,,,,,,,,,,,,,Chowmahalla Palace,,,,,17.3578,,78.4717
40,40,40,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3,4.2,50,Yes,,Wildlife,Yes,0.86,Morning,Home to historic Hyderabad and the Charminar.,78.4475,17.3483,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSq5Lw-nZkhNDfFn6j7gnvD7_urGERNHKpNIn5TXWqrV8_F_7zpyEA8mRwCg&s,,,,,,,,,,,,,,,,,,,,,Nehru Zoological Park,,,,,17.3483,,78.4425
41,41,41,Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1,4.1,20,Yes,,Recreational,Yes,0.73,Evening,Home to historic Hyderabad and the Charminar.,78.4735,24.5375,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQoKyeLBugb1PM7ZHOn3JwEWybBwGQ0_NfUsvz8JhNj8-l72IAZO1Xr-vSvA&s,,,,,,,,,,,,,,,,,,,,,Lumbini Park,,,,,,,
42,42,42,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3517,22.9785,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNIwAahHFS4Hjtit-YUg5G2-fB03kqvUvDw5_lbjgqulQE2yQjU3sU51tkCA&s,,,,,,,,,,,,,,,,,,,,,Victoria Memorial,,,,,,,
43,43,43,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,,Architectural,No,1.2,Anytime,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3424,22.7136,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCXKu1aON_K3ClHKJ3YBkHgFvCj69idYXcGIT4-EE7pIm1XHbGI6GDJVkg5p0&s,,,,,,,,,,,,,,,,,,,,,Howrah Bridge,,,,,,,
44,44,44,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2,4.6,50,Yes,Monday,Historical,Yes,0.18,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638,22.7228,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlFycaLSPlTjDGxo97uJ9YkSPoJszrvVZgYkxcywd6fyan1ikf_yFzLGpKRQ&s,,,,,,,,,,,,,,,,,,,,,Indian Museum,,,,,,,
45,45,45,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1,4.7,0,Yes,,Religious,Yes,0.82,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.383,22.7506,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTT5asrhnERznhl-vMOo6uWwoaFdQZwMZNrb6Hj6gjZTgTxFpzex1P1WfAC11E&s,,,,,,,,,,,,,,,,,,,,,Dakshineswar Kali Temple,,,,,,,
46,46,46,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1,4.4,0,Yes,,Religious,Yes,0.5,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3464,22.7025,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgESUMfAkztkoklDM_GnYauRK4rYoKwk8NZIgml1RDUhxbb0KIUlVIun1HO1U&s,,,,,,,,,,,,,,,,,,,,,Kalighat Kali Temple,,,,,,,
47,47,47,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3,4.1,2500,Yes,,Sports,Yes,0.1,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638,22.8341,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUX3ZeEDmACWB-HsddbVtEVaPGIwurDBKx-Z4P-1-geYCbUZXph8LqVIGgCM0&s,,,,,,,,,,,,,,,,,,,,,Eden Gardens,,,,,,,
48,48,48,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2,4.3,25,Yes,,Wildlife,Yes,0.66,Afternoon,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3548,22.8446,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqs8m2HfOZJ5MyNVulv0VESHo5aMXUcQloarKcAyVaEgUTOZEJDd47hCJG7tE&s,,,,,,,,,,,,,,,,,,,,,Alipore Zoological Gardens,,,,,,,
49,49,49,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3,4.4,60,Yes,,Educational,Yes,0.88,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3755,22.8478,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbOvhG1Ui3veU87IU8kP892m_Lc8qpgzB_gzC7r44Wtq34X316-FE3LA2O4Fc&s,,,,,,,,,,,,,,,,,,,,,Science City Kolkata,,,,,,,
50,50,50,Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,Yes,,Religious,Yes,0.47,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3964,22.8125,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkeBubCfZWKPrDXABppjUKSUOoLhoR2zrEU6s63CfwiA1MctSuaSAXELALOA&s,,,,,,,,,,,,,,,,,,,,,Belur Math,,,,,,,
51,51,51,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1,4.4,0,Yes,,Historical,Yes,0.1,Afternoon,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3601,23.0175,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTD-FdN7A9yksKo8mqYrH36ArgSqVNVlWvYTB1dzCvcxGpLIpLU6wFJUU1NrQ&s,,,,,,,,,,,,,,,,,,,,,Marble Palace,,,,,,,
